Date,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount ,Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used
2023-12-27,CG-12520,55,Male,Blouse,Clothing,53,Zhejiang,L,Gray,Winter,3.1,Yes,Yes,Yes
2023-3-6,CG-12520,19,Male,Sweater,Clothing,64,Shandong,L,Maroon,Spring,3.1,Yes,Yes,Yes
2023-2-5,DV-13045,50,Male,Jeans,Clothing,73,Hebei,S,Maroon,Winter,3.1,Yes,Yes,Yes
2023-7-11,SO-20335,21,Male,Sandals,Footwear,90,Heilongjiang,M,Maroon,Summer,3.5,Yes,Yes,Yes
2023-6-24,SO-20335,45,Male,Blouse,Clothing,49,Liaoning,M,Turquoise,Summer,2.7,Yes,Yes,Yes
2023-1-24,BH-11710,46,Male,Sneakers,Footwear,20,Shandong,M,White,Winter,2.9,Yes,Yes,Yes
2023-11-8,BH-11710,63,Male,Shirt,Clothing,85,Hunan,M,Gray,Fall,3.2,Yes,Yes,Yes
2023-1-14,BH-11710,27,Male,Shorts,Clothing,34,Jiangsu,L,Charcoal,Winter,3.2,Yes,Yes,Yes
2023-8-3,BH-11710,26,Male,Coat,Outerwear,97,Chongqing,L,Silver,Summer,2.6,Yes,Yes,Yes
2023-12-3,BH-11710,57,Male,Handbag,Accessories,31,Sichuan,M,Pink,Winter,4.8,Yes,Yes,Yes
2023-2-9,BH-11710,53,Male,Shoes,Footwear,34,Hebei,L,Purple,Winter,4.1,Yes,Yes,Yes
2023-10-24,BH-11710,30,Male,Shorts,Clothing,68,Sichuan,S,Olive,Fall,4.9,Yes,Yes,Yes
2023-12-20,GA-14725,33,Female,T-shirt,Clothing,84,Shanghai,S,Pink,Winter,4.9,No,No,No
2023-4-23,GA-14725,51,Female,Pants,Clothing,50,Liaoning,M,Charcoal,Spring,5,No,No,No
2023-8-26,GA-14725,65,Female,Shoes,Footwear,88,Guangdong,M,Brown,Summer,4.5,No,No,No
2023-7-4,TC-21295,51,Female,Jacket,Outerwear,50,Gansu,M,Blue,Summer,3.7,No,No,No
2023-11-15,JB-15400,70,Female,Scarf,Accessories,80,Hunan,L,Teal,Fall,2.8,No,No,No
2023-7-24,CK-12325,40,Female,T-shirt,Clothing,47,Hunan,L,Pink,Summer,3.5,No,No,No
2023-4-19,RL-19615,19,Female,Dress,Clothing,33,Sichuan,XL,Magenta,Spring,3,No,No,No
2023-2-24,AC-10660,28,Female,Coat,Outerwear,100,Shanghai,L,Green,Winter,4.3,No,No,No
2023-2-17,BH-11710,51,Female,Sweater,Clothing,26,Anhui,M,White,Winter,3.6,No,No,No
2023-11-5,BG-11695,32,Female,Hat,Accessories,79,Shanghai,M,Indigo,Fall,4.4,No,No,No
2023-12-5,XP-21865,26,Female,Backpack,Accessories,77,Guangdong,L,Lavender,Winter,4.1,No,No,No
2023-6-17,SN-20560,50,Female,Socks,Clothing,36,Shanghai,XL,Black,Summer,2.8,No,No,No
2023-1-22,DM-13345,68,Female,Jewelry,Accessories,21,Shanxi,L,Charcoal,Winter,2.8,No,No,No
2023-4-23,DM-13345,33,Female,Boots,Footwear,72,Sichuan,L,Gray,Spring,4.9,No,No,No
2023-6-23,AJ-10780,56,Female,Coat,Outerwear,25,Shaanxi,M,Gold,Summer,4.1,No,No,No
2023-11-13,KC-16255,57,Female,Sweater,Clothing,79,Shandong,M,Silver,Fall,3,No,No,No
2023-11-29,VF-21715,58,Female,Blouse,Clothing,73,Zhejiang,L,Teal,Fall,3,No,No,No
2023-9-5,SV-20935,40,Female,Belt,Accessories,71,Guangdong,M,Magenta,Fall,3,No,No,No
2023-1-4,SV-20935,37,Female,Hat,Accessories,48,Shanxi,M,Magenta,Winter,3.2,No,No,No
2023-8-12,EM-13810,36,Female,Sandals,Footwear,28,Henan,M,Beige,Summer,2.7,No,No,No
2023-10-1,RB-19360,29,Female,Boots,Footwear,95,Guangxi,S,Maroon,Fall,3.8,No,No,No
2023-1-4,DJ-13510,65,Female,Jacket,Outerwear,48,Sichuan,M,Indigo,Winter,3.5,No,No,No
2023-3-26,CC-12370,44,Female,Dress,Clothing,93,Hubei,S,Maroon,Spring,3.8,No,No,No
2023-6-30,SC-20380,34,Female,Jeans,Clothing,87,Shanghai,L,Teal,Summer,3.8,No,No,No
